,episode,duration,G,loss,gamma,n_step,semi_gradient,alpha
0,71,59,58.0,0.029179740697145462,0.8,3,True,0.001
0,72,74,73.0,0.09599057585000992,0.8,3,True,0.001
0,73,201,200.0,0.03904814273118973,0.8,3,True,0.001
0,74,201,200.0,0.015529653057456017,0.8,3,True,0.001
0,75,91,90.0,0.09179998189210892,0.8,3,True,0.001
0,76,45,44.0,0.2374066412448883,0.8,3,True,0.001
0,77,201,200.0,0.014772672206163406,0.8,3,True,0.001
0,78,201,200.0,0.15696564316749573,0.8,3,True,0.001
0,79,201,200.0,0.04428443685173988,0.8,3,True,0.001
0,80,201,200.0,0.10384976863861084,0.8,3,True,0.001
0,81,131,130.0,0.09468772262334824,0.8,3,True,0.001
0,82,120,119.0,0.2873847186565399,0.8,3,True,0.001
0,83,201,200.0,0.013293581083416939,0.8,3,True,0.001
0,84,201,200.0,0.1224292665719986,0.8,3,True,0.001
0,85,201,200.0,0.08071873337030411,0.8,3,True,0.001
0,86,24,23.0,0.24111637473106384,0.8,3,True,0.001
0,87,186,185.0,0.021997636184096336,0.8,3,True,0.001
0,88,201,200.0,0.03906859830021858,0.8,3,True,0.001
0,89,63,62.0,0.12421183288097382,0.8,3,True,0.001
0,90,198,197.0,0.2572653591632843,0.8,3,True,0.001
0,91,201,200.0,0.1249888688325882,0.8,3,True,0.001
0,92,201,200.0,0.010008986108005047,0.8,3,True,0.001
0,93,201,200.0,0.014009429141879082,0.8,3,True,0.001
0,94,201,200.0,0.03888103365898132,0.8,3,True,0.001
0,95,201,200.0,0.09594128280878067,0.8,3,True,0.001
0,96,201,200.0,0.09861336648464203,0.8,3,True,0.001
0,97,168,167.0,0.03564225882291794,0.8,3,True,0.001
0,98,126,125.0,0.03452169895172119,0.8,3,True,0.001
0,99,137,136.0,0.022239968180656433,0.8,3,True,0.001
0,0,18,17.0,0,0.8,3,True,0.001
0,1,14,13.0,0,0.8,3,True,0.001
0,2,21,20.0,6.275135040283203,0.8,3,True,0.001
0,3,33,32.0,2.97906231880188,0.8,3,True,0.001
0,4,36,35.0,2.1394009590148926,0.8,3,True,0.001
0,5,34,33.0,0.39445310831069946,0.8,3,True,0.001
0,6,26,25.0,0.646719753742218,0.8,3,True,0.001
0,7,42,41.0,0.4143516421318054,0.8,3,True,0.001
0,8,22,21.0,0.16229726374149323,0.8,3,True,0.001
0,9,43,42.0,0.70737224817276,0.8,3,True,0.001
0,10,34,33.0,0.3228833079338074,0.8,3,True,0.001
0,11,47,46.0,0.15982216596603394,0.8,3,True,0.001
0,12,27,26.0,0.5343537330627441,0.8,3,True,0.001
0,13,57,56.0,0.3097652494907379,0.8,3,True,0.001
0,14,61,60.0,0.11811038851737976,0.8,3,True,0.001
0,15,74,73.0,0.27730467915534973,0.8,3,True,0.001
0,16,122,121.0,0.3386819064617157,0.8,3,True,0.001
0,17,137,136.0,0.24896690249443054,0.8,3,True,0.001
0,18,201,200.0,0.10009066760540009,0.8,3,True,0.001
